# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sat Oct  5 11:18:04 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and disc_facility like '%TESS%'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN default_flag:   Default Parameter Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN soltype:        Solution Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_refname:     Planetary Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_insol:       Insolation Flux [Earth Flux],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_eqt:         Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ttv_flag:       Data show Transit Timing Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_refname:     Stellar Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_spectype:    Spectral Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_met:         Stellar Metallicity [dex],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_metratio:    Stellar Metallicity Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_refname:     System Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN rastr:          RA [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra:             RA [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN decstr:         Dec [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec:            Dec [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN releasedate:    Release Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,disc_year,ra [dec],dec [deg],distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,
AU Mic b,2020,311.2911369,-31.34245,9.7221,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU Mic c,2021,311.2911369,-31.34245,9.7221,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD-14 3065 b,2024,153.6696689,-15.6428372,589.423,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS Tuc A b,2019,354.9154673,-69.196043,44.0622,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1252 b,2020,306.9286462,-56.4622865,20.373,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 143 b,2019,51.7501882,-63.500166,16.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 238 b,2024,98.454881,-58.5250316,15.2142,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3090 b,2022,20.4384281,-46.7147234,22.4751,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3473 b,2020,120.5936065,3.3371629,27.3644,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 357 b,2019,144.0074644,-21.6650634,9.44181,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 367 b,2021,146.121464,-45.7790165,9.41263,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3929 b,2022,239.5775678,35.4081141,15.8095,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 806 b,2023,311.2697002,44.5002351,12.0445,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gliese 12 b,2024,3.9579137,13.5576175,12.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 108236 b,2020,186.5740627,-51.3630519,64.5978,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 108236 c,2020,186.5740627,-51.3630519,64.5978,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 108236 d,2020,186.5740627,-51.3630519,64.5978,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 108236 e,2020,186.5740627,-51.3630519,64.5978,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 109833 b,2022,189.7758591,-74.5740205,79.5561,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 109833 c,2022,189.7758591,-74.5740205,79.5561,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 110082 b,2021,192.5892855,-88.1211107,105.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 110113 b,2021,190.0365636,-44.3120777,106.307,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 135694 b,2023,227.8678636,71.8412965,73.8713,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 1397 b,2018,4.4471631,-66.3589285,79.5702,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 152843 b,2021,253.7848853,20.491524,107.898,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 152843 c,2021,253.7848853,20.491524,107.898,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 15337 b,2019,36.8678846,-27.6361171,44.8155,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 15337 c,2019,36.8678846,-27.6361171,44.8155,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 15906 b,2023,38.2712534,-10.352178,45.5621,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 15906 c,2023,38.2712534,-10.352178,45.5621,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 183579 b,2021,293.2866147,-54.5327284,57.2651,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 18599 b,2022,44.2620144,-56.1918694,38.5653,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 b,2020,302.0256247,66.8503014,53.6089,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 c,2020,302.0256247,66.8503014,53.6089,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 d,2020,302.0256247,66.8503014,53.6089,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 202772 A b,2019,319.6995877,-26.6163743,161.498,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 20329 b,2022,49.178124,15.6563542,63.6796,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 207496 b,2023,328.7181708,-77.3388025,23.606,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 207897 b,2021,325.2016451,84.3337613,28.2938,,,,,,,,,,,,,,,,,,,,,,,,,,,
